Transaction_ID,Date,SKU_ID,Category,Brand,Competitor_Brand,Competitor_Price,Massmart_Price,Cost_Price,Gross_Margin,Units_Sold,Promotion_Flag,Promo_Type,Store_Region,Channel,Stock_On_Hand,Weather_Index,Season,Customer_Segment,Return_Rate
TXN100521,2024-01-01,SNA_708,Snacks,CrunchTime,CompB,41.42,41.84,31.18,0.255,96,0,None,Gauteng,Online,96,0.69,Summer,Premium,0.023
TXN100558,2024-01-01,SNA_691,Snacks,Snackster,CompE,40.58,42.33,26.9,0.365,67,0,None,Mpumalanga,In-store,67,0.56,Summer,Premium,0.013
TXN100179,2024-01-01,PER_446,Personal Care,GlowWell,CompE,189.61,208.7,189.22,0.093,10,0,None,Eastern Cape,Online,40,0.51,Summer,Premium,0.015
TXN101082,2024-01-01,HOU_772,Household,CleanEase,CompC,97.57,99.73,65.36,0.345,36,0,None,Western Cape,In-store,108,0.51,Summer,Value,0.02
TXN102027,2024-01-01,DAI_647,Dairy,FarmFresh,CompB,59.73,64.96,51.03,0.214,39,0,None,Western Cape,In-store,39,0.37,Summer,Value,0.022
TXN100162,2024-01-02,BEV_642,Beverages,BrewMaster,CompC,60.1,60.39,37.05,0.386,153,0,None,Gauteng,Online,306,0.77,Summer,Mid-tier,0.008
TXN101456,2024-01-02,SNA_424,Snacks,Snackster,CompC,74.32,75.59,53.26,0.295,131,0,None,Western Cape,In-store,131,0.67,Summer,Value,0.015
TXN100420,2024-01-02,HOU_361,Household,HomeFresh,CompB,119.7,123.61,88.65,0.283,31,0,None,Mpumalanga,In-store,62,0.44,Summer,Value,0.028
TXN100302,2024-01-02,SNA_954,Snacks,MunchBox,CompC,67.92,67.72,57.21,0.155,109,0,None,Eastern Cape,In-store,545,0.67,Summer,Mid-tier,0.007
TXN100978,2024-01-02,BEV_706,Beverages,FizzUp,CompA,85.04,85.53,73.47,0.141,128,0,None,Mpumalanga,In-store,640,0.81,Summer,Premium,0.019
TXN101146,2024-01-02,PER_251,Personal Care,PureSkin,CompA,175.07,169.09,150.69,0.109,47,0,None,Gauteng,In-store,47,0.48,Summer,Value,0.025
TXN100609,2024-01-03,SNA_228,Snacks,MunchBox,CompB,6.27,6.5,4.59,0.294,118,0,None,Gauteng,In-store,118,0.66,Summer,Value,0.022
TXN101993,2024-01-03,SNA_317,Snacks,Snackster,CompA,57.23,58.09,35.39,0.391,108,0,None,KwaZulu-Natal,Online,108,0.68,Summer,Value,0.025
TXN100230,2024-01-04,SNA_528,Snacks,Snackster,CompA,24.08,23.55,21.32,0.095,88,0,None,Gauteng,In-store,440,0.54,Summer,Mid-tier,0.026
TXN101682,2024-01-04,BEV_356,Beverages,AquaPure,CompA,80.62,83.8,63.87,0.238,191,0,None,Western Cape,In-store,573,0.78,Summer,Mid-tier,0.01
TXN100682,2024-01-04,HOU_727,Household,SparkPro,CompC,287.93,292.02,229.87,0.213,26,0,None,Western Cape,Online,104,0.51,Summer,Mid-tier,0.032
TXN100031,2024-01-04,BEV_641,Beverages,BrewMaster,CompB,115.82,118.74,93.7,0.211,143,0,None,Gauteng,Online,286,0.84,Summer,Mid-tier,0.03
TXN101614,2024-01-04,SNA_468,Snacks,TreatsCo,CompD,41.86,41.16,33.66,0.182,119,0,None,Western Cape,Online,357,0.61,Summer,Value,0.024
TXN101673,2024-01-04,PER_971,Personal Care,PureSkin,CompE,108.1,107.27,76.73,0.285,44,0,None,Western Cape,In-store,44,0.52,Summer,Mid-tier,0.042
TXN102401,2024-01-05,PER_299,Personal Care,SoftTouch,CompA,74.5,70.78,54.79,0.226,44,0,None,Gauteng,In-store,176,0.57,Summer,Mid-tier,0.04
TXN101297,2024-01-05,PER_707,Personal Care,PureSkin,CompE,116.46,115.8,81.34,0.298,43,0,None,KwaZulu-Natal,In-store,172,0.58,Summer,Mid-tier,0.043
TXN100366,2024-01-05,DAI_406,Dairy,DairyDelight,CompA,44.14,43.06,36.91,0.143,66,1,Flash Sale,Gauteng,In-store,330,0.47,Summer,Mid-tier,0.022
TXN100431,2024-01-05,BEV_288,Beverages,AquaPure,CompC,110.07,104.42,73.49,0.296,205,0,None,Western Cape,Online,410,0.86,Summer,Mid-tier,0.038
TXN101264,2024-01-05,PER_196,Personal Care,BodyCare,CompA,89.12,87.24,67.18,0.23,34,0,None,Western Cape,In-store,170,0.47,Summer,Mid-tier,0.05
TXN100390,2024-01-05,BEV_144,Beverages,AquaPure,CompB,99.92,89.11,71.64,0.196,216,1,Bundle,KwaZulu-Natal,In-store,432,0.78,Summer,Premium,0.021
TXN100149,2024-01-06,PER_562,Personal Care,SoftTouch,CompC,123.2,119.26,101.05,0.153,41,0,None,Western Cape,In-store,41,0.43,Summer,Mid-tier,0.031
TXN100844,2024-01-06,HOU_434,Household,CleanEase,CompD,176.1,147.44,122.87,0.167,70,0,None,KwaZulu-Natal,In-store,70,0.56,Summer,Mid-tier,0.035
TXN100796,2024-01-07,PER_240,Personal Care,SoftTouch,CompA,237.14,245.57,218.45,0.11,18,0,None,Mpumalanga,In-store,54,0.4,Summer,Value,0.036
TXN100920,2024-01-07,HOU_380,Household,EcoHome,CompA,167.93,172.8,130.4,0.245,37,0,None,Eastern Cape,In-store,74,0.5,Summer,Mid-tier,0.013
TXN100290,2024-01-08,BEV_425,Beverages,FizzUp,CompD,114.45,105.64,77.58,0.266,219,0,None,Mpumalanga,In-store,1095,0.9,Summer,Mid-tier,0.036
TXN101356,2024-01-08,PER_414,Personal Care,BodyCare,CompB,226.85,227.79,153.87,0.325,43,0,None,Eastern Cape,In-store,129,0.51,Summer,Mid-tier,0.031
TXN101113,2024-01-08,BEV_566,Beverages,CoolSip,CompB,112.06,114.91,97.5,0.152,138,0,None,Gauteng,In-store,552,0.77,Summer,Premium,0.03
TXN100906,2024-01-08,DAI_248,Dairy,FarmFresh,CompC,52.51,53.66,45.66,0.149,48,0,None,KwaZulu-Natal,In-store,192,0.47,Summer,Mid-tier,0.021
TXN101467,2024-01-08,PER_340,Personal Care,BodyCare,CompC,191.64,184.26,124.35,0.325,60,0,None,KwaZulu-Natal,Online,60,0.58,Summer,Mid-tier,0.047
TXN101191,2024-01-08,PER_956,Personal Care,BodyCare,CompC,218.87,249.17,183.83,0.262,22,0,None,Eastern Cape,In-store,88,0.49,Summer,Mid-tier,0.019
TXN101472,2024-01-09,DAI_988,Dairy,DairyDelight,CompB,33.64,31.58,26.17,0.171,61,0,None,Western Cape,In-store,183,0.47,Summer,Value,0.025
TXN100859,2024-01-09,SNA_416,Snacks,CrunchTime,CompB,38.12,35.7,21.91,0.386,138,0,None,Gauteng,In-store,276,0.73,Summer,Mid-tier,0.033
TXN102053,2024-01-09,PER_815,Personal Care,SoftTouch,CompE,160.09,165.16,111.49,0.325,32,0,None,Western Cape,In-store,160,0.44,Summer,Value,0.016
TXN102019,2024-01-09,BEV_201,Beverages,BrewMaster,CompB,96.45,103.73,92.46,0.109,195,0,None,Eastern Cape,Online,585,0.82,Summer,Value,0.016
TXN102471,2024-01-09,BEV_285,Beverages,CoolSip,CompB,48.5,49.62,41.55,0.163,199,1,None,Gauteng,In-store,199,0.78,Summer,Value,0.032
TXN100733,2024-01-10,DAI_452,Dairy,FarmFresh,CompA,66.03,64.71,41.0,0.366,33,1,Multi-buy,Eastern Cape,Online,165,0.41,Summer,Premium,0.02
TXN101995,2024-01-10,PER_161,Personal Care,BodyCare,CompB,105.45,101.0,68.29,0.324,54,0,None,Gauteng,In-store,54,0.49,Summer,Mid-tier,0.05
TXN100183,2024-01-10,PER_126,Personal Care,GlowWell,CompB,242.75,234.94,142.47,0.394,66,0,None,Eastern Cape,Online,198,0.55,Summer,Value,0.038
TXN101699,2024-01-10,DAI_249,Dairy,Creamy,CompA,63.68,62.91,46.1,0.267,45,0,None,Eastern Cape,In-store,45,0.49,Summer,Value,0.034
TXN101883,2024-01-10,SNA_741,Snacks,MunchBox,CompA,51.8,50.2,30.77,0.387,64,0,None,KwaZulu-Natal,In-store,128,0.51,Summer,Premium,0.03
TXN101440,2024-01-11,BEV_226,Beverages,BrewMaster,CompE,99.09,96.01,61.76,0.357,297,1,Bundle,Western Cape,In-store,594,0.91,Summer,Value,0.019
TXN102045,2024-01-11,SNA_338,Snacks,CrunchTime,CompB,33.62,32.76,25.53,0.221,142,0,None,Western Cape,Online,568,0.7,Summer,Mid-tier,0.023
TXN101713,2024-01-11,HOU_152,Household,EcoHome,CompE,47.02,47.53,28.85,0.393,48,0,None,KwaZulu-Natal,In-store,144,0.5,Summer,Value,0.032
TXN100224,2024-01-11,BEV_405,Beverages,AquaPure,CompC,105.75,107.55,80.34,0.253,145,0,None,Western Cape,In-store,725,0.77,Summer,Mid-tier,0.015
TXN100745,2024-01-11,SNA_617,Snacks,Snackster,CompB,43.89,41.19,37.24,0.096,108,0,None,Mpumalanga,In-store,432,0.62,Summer,Mid-tier,0.019
TXN100678,2024-01-11,DAI_105,Dairy,MilkyWay,CompC,17.06,17.37,14.57,0.161,56,0,None,Eastern Cape,In-store,224,0.5,Summer,Mid-tier,0.035
